code,actual
f14d1,f14d1cn5
f16d1,f16d1cn7
f16d1c,f16d1cn7
f18d1,f18d1cn9
f20d1,f20d1cn9
f20d1n9,f20d1cn9
f20d1n9f,f20d1cn9
f22d1,f22d1cn9
f22d1n9,f22d1cn9
f24d1,f24d1cn9
f24d1c,f24d1cn9
f20d2,f20d2n6
f22d2,f22d2n6
tf4d0,f4d0
tf6d0,f6d0
tf8d0,f8d0
tf10d0,f10d0
tf12d0,f12d0
tf14d0,f14d0
tf16d0,f16d0
tf18d0,f18d0
tf20d0,f20d0
tf22d0,f22d0
tf24d0,f24d0
tf14d1,f14d1cn5
tf16d1c,f16d1cn7
tf18d1tn9,f18d1tn9
tf18d1cn9,f18d1cn9
tf20d1n9f,f20d1cn9
tf22d1n9,f22d1cn9
tf18d2cn6,f18d2cn6
tf18d3n3,f18d3n3
tfasat,fasat
tfams,fams
tfapu,fapu
